Index,Steering,Speed
0,0.000427,81.256441
1,0.039917,52.953709
2,0.018217,72.56194
3,-0.136066,52.28205
4,-0.075196,50.724587
5,0.024792,73.687867
6,0.198467,33.153428
7,0.013894,74.509342
8,0.074676,54.861286
9,0.137879,36.776483
10,-0.000616,69.48354
11,-0.059962,45.689789
12,-0.1134,50.386007
13,0.00452,76.860312
14,-0.040726,57.881336
15,0.033181,47.103796
16,-0.070729,36.612643
17,0.200262,35.910559
18,-0.100204,40.82499
19,0.005063,69.300456
20,0.025144,54.308256
21,0.064451,55.020261
22,-0.080172,43.201696
23,0.05701,38.436222
24,-0.01587,70.944536
25,-0.012488,71.911423
26,0.059337,60.534496
27,-0.013671,52.750485
28,-0.010991,67.689193
29,-0.024474,15.850835
30,0.075638,42.13493
31,0.01368,62.304472
32,0.028496,53.046332
33,-0.114463,45.941984
34,0.136392,43.687541
35,0.008233,76.860283
36,0.026644,49.217278
37,-0.026438,43.869127
38,-0.09029,39.90332
39,0.157752,44.543156
40,-0.055854,50.595349
41,0.000924,76.227474
42,-0.1292,46.596118
43,-0.083169,50.380772
44,-0.090392,40.076319
45,-0.003915,73.120924
46,0.021681,62.899103
47,0.008702,13.176489
48,0.042881,49.268695
49,0.026386,58.361262
50,0.013279,71.09902
51,0.222217,35.998969
52,0.000768,78.559386
53,-0.023053,44.576917
54,-0.044835,64.114057
55,0.22462,33.649455
56,-0.031155,71.707727
57,0.03127,50.203354
58,-0.001634,71.544161
59,-0.002885,79.195259
60,0.029482,48.811211
61,0.215332,29.650462
62,-0.004739,83.869027
63,0.014584,53.983315
64,0.000269,11.885546
65,0.08032,37.347801
66,0.070127,50.308039
67,0.028269,53.481983
68,-0.037888,40.693098
69,0.221246,29.062243
70,0.023021,71.955934
71,0.044451,56.761792
72,-0.105717,47.164186
73,0.035668,66.69543
74,0.045724,66.31264
75,0.018955,3.469419
76,-0.244105,30.845082
77,-0.031372,59.394762
78,-0.012897,66.046131
79,-0.031736,43.869181
80,0.004169,76.927288
81,-0.207471,38.929507
82,0.086165,58.253975
83,0.129495,48.549691
84,0.023642,22.463016
85,0.11739,52.376745
86,0.012329,79.195248
87,0.072969,60.045106
88,0.00151,76.304191
89,0.069321,45.696044
90,-0.032274,49.560558
91,-0.076601,41.14851
92,-0.050999,26.245042
93,0.021911,17.631424
94,-0.014798,49.364669
95,0.024138,75.051354
96,0.03522,72.527609
97,-0.090897,53.665513
98,-0.138344,44.555542
99,-0.001011,79.793818
100,0.005644,69.891246
101,0.012301,16.252669
102,-0.050702,59.533014
103,-0.02349,15.622769
104,0.107144,49.832384
105,-0.065476,44.314822
106,-0.017191,76.860317
107,0.018396,64.552841
108,-0.027452,70.840374
109,0.060295,48.825675
110,-0.09112,44.639427
111,0.135238,42.860319
112,-0.114995,16.365284
113,-0.004283,63.992543
114,0.159284,48.014959
115,-0.026348,61.490929
116,0.001051,72.202661
117,-0.036782,64.019056
118,0.044531,62.234622
119,0.128565,38.349563
120,-0.102452,36.778785
121,0.045414,57.387226
122,0.04537,55.16939
123,-0.03609,44.320497
124,-0.053696,46.924841
125,0.026411,50.505589
126,-0.152546,43.104159
127,0.025453,50.700265
128,0.011832,76.492494
129,0.046976,41.989575
130,-0.114236,53.190358
131,-0.043738,43.526046
132,0.038186,58.408465
133,0.08256,38.110661
134,-0.082479,57.028983
135,-0.053205,42.691051
136,0.145803,43.883019
137,0.163363,35.017153
138,-0.021751,80.625781
139,-0.009639,63.778844
140,0.081543,42.01928
141,-0.026107,83.642779
142,-0.010162,83.461894
143,0.189084,39.396258
144,-0.085161,25.769596
145,0.040302,61.735389
146,-0.099454,39.551104
147,-0.146697,38.554789
148,0.012767,62.418317
149,0.100369,41.504398
150,-0.016247,67.387165
151,0.1047,34.810131
152,-0.046307,49.394182
153,-0.021281,60.284119
154,-0.020831,65.587468
155,-0.004557,76.77795
156,-0.014675,59.050988
157,0.176005,35.546158
158,0.050693,57.033902
159,0.121011,39.464131
160,0.05663,57.578901
161,-0.093825,45.725733
162,0.068913,57.031334
163,0.090391,39.169735
164,-0.161231,15.826689
165,0.091616,54.970111
166,-0.079953,57.291794
167,0.030676,59.15754
168,0.02748,81.542199
169,0.147235,43.482574
170,-0.029618,44.210083
171,-0.010288,72.916901
172,0.168209,46.478628
173,-0.077633,57.844147
174,-0.016334,75.905221
175,-0.053364,56.664272
176,0.028261,48.12765
177,0.068277,42.069217
178,-0.001739,81.900912
179,-0.113614,42.360156
180,-0.043934,23.160618
181,-0.037305,18.481057
182,-0.064246,57.866792
183,-0.057147,48.189301
184,0.040191,40.076603
185,-0.074567,55.835624
186,-0.019665,52.890075
187,-0.029042,49.393909
188,0.055188,59.220753
189,-0.078632,16.921796
190,0.105223,47.945432
191,0.019313,22.618198
192,0.103758,42.665788
193,0.016283,57.236282
194,0.045126,48.275738
195,0.015859,11.218386
196,0.178749,50.695388
197,0.025277,53.976159
198,-0.035344,60.910165
199,0.01607,43.868991
200,-0.146473,31.537869
201,0.131439,27.61893
202,-0.048221,23.16981
203,-0.081196,47.833047
204,-0.030566,57.792318
205,-1.1e-05,60.970415
206,-0.011362,60.929122
207,0.101066,28.80969
208,0.182136,45.962026
209,0.065856,51.689158
210,0.11104,37.980573
211,0.106309,43.496182
212,0.019133,65.819349
213,0.012003,77.377156
214,-0.003545,13.999173
215,-0.000331,65.83413
216,-0.027361,50.611255
217,-0.065937,54.058477
218,0.044903,43.918444
219,0.009135,79.19524
220,-2.1e-05,60.971031
221,0.138801,41.767234
222,0.084802,58.010108
223,0.133656,47.186806
224,-0.079171,28.742312
225,0.005698,76.190142
226,-0.052933,49.109433
227,-0.052518,43.725408
228,-0.095872,43.637241
229,-0.148394,38.641794
230,-0.115503,59.020972
231,0.063785,53.142786
232,-0.000488,12.072803
233,-0.032975,27.974701
234,-0.003493,79.715849
235,-0.018884,58.142383
236,0.026281,57.791906
237,-0.033449,58.275951
238,-0.039102,56.973953
239,0.039713,24.460252
240,0.023585,75.906594
241,-0.100891,59.493845
242,-0.01192,68.782244
243,-0.000452,15.805196
244,-0.128935,42.125288
245,0.110309,38.92636
246,0.023105,40.07696
247,-0.080667,47.995089
248,-0.039687,65.384846
249,-0.042861,25.742707
250,0.010146,54.402469
251,0.086558,42.877933
252,0.112657,47.162629
253,-0.031855,70.957396
254,-0.0246,20.976561
255,-0.05079,50.117129
256,0.235109,32.456124
257,0.027605,57.461961
258,-0.030163,57.211942
259,0.011682,83.258426
260,-0.013333,71.40187
261,-0.104095,44.366408
262,0.046682,39.87174
263,0.016232,15.622075
264,0.011449,14.983268
265,0.035809,44.162394
266,0.055188,44.596792
267,0.066274,61.825416
268,0.001689,15.971439
269,0.149674,41.090232
270,0.115769,52.338906
271,-0.137936,44.040784
272,-0.127544,44.861264
273,0.010572,81.145579
274,-0.052448,66.209171
275,-0.024971,48.617733
276,-0.022828,51.20663
277,0.070378,43.569251
278,-0.031017,57.880637
279,-0.043333,63.658695
280,-0.147498,46.821067
281,-0.102942,51.460165
282,-0.001385,71.589967
283,0.038625,26.741868
284,0.049513,48.467973
285,0.025991,56.628504
286,0.047407,49.160527
287,0.018437,67.197211
288,0.040016,45.373179
289,0.005757,79.19524
290,-0.018236,52.75057
291,-0.065225,42.691677
292,-0.125411,15.813949
293,0.029274,69.225053
294,0.002665,74.481731
295,-0.03642,61.541618
296,0.008156,62.837161
297,-0.069124,48.456131
298,-0.064456,16.92156
299,-0.004132,76.860319
300,-0.023153,63.313558
301,-0.012239,75.309624
302,0.02118,71.123435
303,0.016632,64.394183
304,-0.181439,30.14063
305,-0.019496,66.054962
306,0.008471,76.860286
307,0.041148,50.611144
308,-0.073074,45.369014
309,0.032166,54.900311
310,0.057991,56.138096
311,0.045197,59.456333
312,0.026247,42.125353
313,0.013778,62.793913
314,4.4e-05,67.377297
315,-0.026597,53.508144
316,0.011255,34.265893
317,-0.000436,15.805162
318,-0.02677,83.871938
319,-0.032026,47.489218
320,0.018989,62.791479
321,0.145865,35.073703
322,-4.1e-05,67.713947
323,0.091821,44.095553
324,0.008935,57.880423
325,-0.10161,36.597135
326,0.143587,15.811925
327,-0.024968,50.822516
328,-0.031583,54.995007
329,-0.06159,45.849356
330,-0.236535,28.632955
331,0.099134,32.791148
332,-0.162859,36.673123
333,0.043016,75.230989
334,0.07709,16.922847
335,-0.0968,60.077105
336,0.000727,76.6417
337,-0.008129,16.250183
338,-0.05994,56.376536
339,0.060155,37.710845
340,-0.077412,48.824174
341,-0.010167,69.305122
342,0.002553,75.136146
343,0.068037,25.568461
344,0.037705,48.810489
345,-0.178802,37.499251
346,0.083995,47.988373
347,0.022767,49.364776
348,-0.034687,52.282763
349,-0.000677,12.072812
350,0.121171,33.332335
351,-0.075937,40.237793
352,0.063646,40.796092
353,-0.058364,56.212213
354,0.077839,50.696776
355,-0.012329,79.195248
356,-0.133322,35.808795
357,-0.016975,72.844041
358,-0.071212,47.907273
359,0.057946,40.646555
360,-0.010856,18.217898
361,-0.061625,26.66061
362,0.015106,64.40591
363,0.080844,44.712368
364,0.056473,63.506834
365,-0.019494,61.644692
366,0.010464,48.966911
367,0.070757,41.519867
368,-0.032838,63.486769
369,-0.047995,59.763998
370,-0.007841,79.195271
371,-0.120485,34.715745
372,-0.191494,41.343422
373,0.047166,60.007745
374,0.000834,77.035039
375,-0.097763,34.824526
376,-0.059196,58.586021
377,0.00304,14.118856
378,0.145465,44.505001
379,0.08406,37.945355
380,0.143513,36.533458
381,9.5e-05,74.725316
382,0.123933,34.649198
383,0.025661,58.558223
384,0.014778,77.224322
385,-0.06549,57.236243
386,0.021596,58.317057
387,-0.022229,63.556874
388,0.128805,49.851497
389,-0.124647,48.21261
390,0.044154,68.799463
391,-0.042943,51.90988
392,0.085338,31.303825
393,-0.092697,41.33815
394,-0.147423,15.816032
395,-0.02036,67.461949
396,0.005168,49.093525
397,-0.024106,58.80826
398,0.089024,49.15086
399,0.122737,48.043635
400,-0.011968,63.319524
401,-0.13876,43.68205
402,0.001833,15.136872
403,-0.066971,51.712738
404,0.156783,43.628213
405,0.102872,37.151519
406,-0.156087,35.920237
407,0.10532,36.905804
408,0.032868,54.860091
409,0.016855,75.207113
410,-0.100441,42.677675
411,-0.006851,68.989492
412,0.065836,57.79816
413,0.012346,16.863806
414,-0.011519,20.668188
415,0.032235,39.706842
416,-0.013857,68.184095
417,-0.022277,68.58316
418,-0.049091,61.986897
419,-0.030919,63.352597
420,0.015122,76.860225
421,0.051814,41.7935
422,0.035376,54.912203
423,0.089533,37.763544
424,-0.168624,51.463108
425,0.107603,48.122422
426,-0.080836,34.075698
427,0.123412,50.02866
428,0.0041,64.393545
429,0.009258,18.737834
430,-0.1401,43.628928
431,-1e-06,67.042405
432,-0.213406,38.745937
433,-0.065577,33.641173
434,-0.177023,37.779867
435,0.087959,48.484008
436,0.014329,53.860148
437,-0.029392,74.445329
438,0.070898,48.346364
439,-0.018767,68.629329
440,-0.064082,60.083238
441,-0.005616,70.555418
442,0.008136,76.470363
443,-0.050585,45.767984
444,-0.151213,15.816236
445,0.1375,33.163695
446,-0.006539,19.510024
447,-0.010404,51.444896
448,-0.082083,51.807574
449,-0.221629,31.422615
450,0.013846,14.218155
451,-0.039923,58.095402
452,0.024423,28.745066
453,-0.040354,55.471923
454,0.010804,76.860326
455,-0.047909,64.859919
